explanations,type,optional,name,block_order,item_order,showif,label,choice1,choice2
,get PROLIFIC_PID,,code,,,,,,
,block,,block,,,"is.na(code) || code == """"",You have to come here through Prolific.,,
,note,,consent,,,,"You are being invited to participate in a research study about human reasoning. This study is being conducted by Alan Jern, Ph.D., from the Department of Humanities, Social Sciences, and the Arts at Rose-Hulman Institute of Technology. There are no known risks or costs if you decide to participate in thisresearch study. In this study, you will be asked to answer a few questions or make some judgments. There are no right or wrong answers. We are only interested in whether people tend to give similar answers. The information collected may not benefit you directly, but the information learned in this study could help usto better understand how people think and reason. The data from this study will be shared publicly, but your responses will be anonymized so that they cannot be linked to your identity. Your participation in this study is voluntary and you may leave at any time. By completing the survey, you are voluntarily agreeing to participate. If you have any questions about the study, please contact Alan Jern at jern@rose-hulman.edu. If you have any questions about your rights as a research subject or if you feel you've been placed at risk, you may contact the Institutional Reviewer, Daniel Morris, by phone at (812) 877-8314, or by e-mail at morris@rose-hulman.edu. ",,
,submit,,consent_submit,,,,Acknowledge Consent & Proceed,,
,note,,instructions_1,,,,## Instructions,,
,note,,instructions_2,,,,"On each page of this study, you will learn about something a person has done previously. Your task is to rate how likely you think it is that the same person will do different things in the future, given what you know about their past behavior.",,
,note,,instructions_3,,,,There are no right or wrong answers. We only want to know whether people give similar answers.,,
,submit,,instructions_submit,,,,Continue to Experiment,,
,"random 1,10.0",,condition,,,,,,
,note,,prompt_pr11,pr1,1,condition == 1,"Steven sells government secrets from his nation to another country; the information is classified, though the sale will not have any negative consequences for people in his home nation. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1sa1,pr1,2,condition == 1,...writes erotic poetry about his pet cat?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au1,pr1,2,condition == 1,"...takes his father's car out after curfew, against his father's wishes?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1lo1,pr1,2,condition == 1,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po1,pr1,2,condition == 1,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca1,pr1,2,condition == 1,...spanks his child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li1,pr1,2,condition == 1,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa1,pr1,2,condition == 1,...pretends to be seriously fouled by an opposing player during a local game?,Very Unlikely,Very Likely
,submit,,p1_submit_1,,,,Next Question,,
,note,,prompt_sa11,sa1,1,condition == 1,"Maria takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1sa1,sa1,2,condition == 1,...marries her first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1po1,sa1,2,condition == 1,...walks away while her conversation partner is still speaking?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca1,sa1,2,condition == 1,...spanks her child with a spatula for getting bad grades in school?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li1,sa1,2,condition == 1,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa1,sa1,2,condition == 1,...bribes her landlord to be the first to get her apartment repainted?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au1,sa1,2,condition == 1,...disobeys her boss; nothing bad happens as a result of her disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo1,sa1,2,condition == 1,...cheats on her spouse with an ex-lover; the spouse does not find out about the infidelity?,Very Unlikely,Very Likely
,submit,,p2_submit_1,,,,Next Question,,
,note,,prompt_li11,li1,1,condition == 1,"James tells his fiance that she has to switch to his political party. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1fa1,li1,2,condition == 1,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo1,li1,2,condition == 1,...jokes about the stupidity of people from his home country?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca1,li1,2,condition == 1,...is driving along an empty road and sees a woman who is clearly injured; he does not stop to help her?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1po1,li1,2,condition == 1,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa1,li1,2,condition == 1,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au1,li1,2,condition == 1,...talks loudly in class while the instructor is teaching?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li1,li1,2,condition == 1,...pressures his daughter to become a famous evening news anchor?,Very Unlikely,Very Likely
,submit,,p3_submit_1,,,,Next Question,,
,note,,attention_check_instructions_1,,,condition == 1,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
,"rating_button 1,7,1",,attention_0_1,,,condition == 1,...tries to undermine all of her boss's ideas in front of others?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_1_1,,,condition == 1,"...sends out an email to other employees at her company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_2_1,,,condition == 1,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_3_1,,,condition == 1,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_4_1,,,condition == 1,"...hires her nephew for a job, instead of a more qualified applicant?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_5_1,,,condition == 1,...plays music through her headphones so loudly that other passengers can hear it while on a bus?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,attention_6_1,,,condition == 1,...tells her romantic partner that he must convert to her religion?,Very Unlikely,Very Likely
,submit,,attention_submit_1,,,condition == 1,Next Question,,
,note,,prompt_pr12,pr1,1,condition == 2,"Steven disobeys his boss; nothing bad happens as a result of his disobedience. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Steven:",,
,"rating_button 1,7,1",,pr1lo2,pr1,2,condition == 2,...leaves his family business to go work for their main competitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1li2,pr1,2,condition == 2,...imposes a curfew on all members of his immediate family?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1sa2,pr1,2,condition == 2,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1ca2,pr1,2,condition == 2,...tells a woman that her painting looks like it was done by children?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1fa2,pr1,2,condition == 2,...takes a shortcut on the course during the marathon in order to win?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1au2,pr1,2,condition == 2,"...sends out an email to other employees at his company, calling their company president an ""idiot""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,pr1po2,pr1,2,condition == 2,...walks away while his conversation partner is still speaking?,Very Unlikely,Very Likely
,submit,,p1_submit_2,,,,Next Question,,
,note,,prompt_sa12,sa1,1,condition == 2,"Maria looks at pornography in which an 18-year-old model has been digitally altered to look like he is 13. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that Maria:",,
,"rating_button 1,7,1",,sa1po2,sa1,2,condition == 2,...goes to a birthday party for her friend but does not bring a gift?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1sa2,sa1,2,condition == 2,"...takes part in a performance art piece in which a group of people act like animals for 30 minutes, including crawling around naked and urinating on stage?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1au2,sa1,2,condition == 2,...talks loudly and interrupts the mayor's speech to the public?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1lo2,sa1,2,condition == 2,"...sells government secrets from her nation to another country; the information is classified, though the sale will not have any negative consequences for people in their home nation?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1fa2,sa1,2,condition == 2,"...requires all her employees to split their bonuses evenly, even though some earn larger bonuses than others?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1ca2,sa1,2,condition == 2,...laughs when she realizes her friend's dad is a janitor?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,sa1li2,sa1,2,condition == 2,...forces her daughter to enroll as a pre-med student in college?,Very Unlikely,Very Likely
,submit,,p2_submit_2,,,,Next Question,,
,note,,prompt_li12,li1,1,condition == 2,"James tells his fiance that she has to switch to his political party. Given this information, how likely (1 - very unlikely to 7 - very likely) is it that James:",,
,"rating_button 1,7,1",,li1po2,li1,2,condition == 2,"...bumps into someone on the street while in a rush but does not say ""excuse me""?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1au2,li1,2,condition == 2,...disobeys his boss; nothing bad happens as a result of his disobedience?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1lo2,li1,2,condition == 2,"...gets a job in a foreign nation where his home country is viewed fairly negatively; in order to fit in among their coworkers, James makes critical comments about their home country, though James does not believe them?",Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1li2,li1,2,condition == 2,...is the leader of a club and bans members from wearing bright colors during club meetings?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1fa2,li1,2,condition == 2,...edges out another person in a long line?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1ca2,li1,2,condition == 2,...shoots geese repeatedly with a pellet gun out in the woods?,Very Unlikely,Very Likely
,"rating_button 1,7,1",,li1sa2,li1,2,condition == 2,...marries his first cousin in an elaborate wedding?,Very Unlikely,Very Likely
,submit,,p3_submit_2,,,,Next Question,,
,note,,attention_check_instructions_2,,,condition == 2,This question is solely intended to be an attention check. Please respond by selecting the number 1 for all the prompts below. You may ignore the text preceding the number options. ,,
